date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210227,ME,44492,9434.0,1575467.0,,posNeg,1619959,74.0,1525.0,24.0,,8.0,,12798.0,2/26/2021 23:59,2021-02-26T23:59:00Z,02/26 18:59,702,1525.0,,2021-02-26T23:59:00Z,1610419.0,41413.0,1566389.0,35058.0,680.0,22.0,,,14947.0,815.0,14120.0,,,,,,207154.0,10473.0,23,197,0,1619959,197,1619959,,1,6,e36f77be83cbfcf7425791161b4fcdf270193716,0,0,0,0,0,
20210227,MI,645550,57969.0,9644816.0,,posNeg,10290366,841.0,,195.0,,93.0,,541258.0,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,16508,,,2021-02-27T00:00:00Z,10387891.0,743075.0,9644816.0,587581.0,15522.0,986.0,,,527911.0,,,,,,,,,,26,1425,35704,10290366,37129,10290366,,70,0,0425e978ff860202b65d9b94c352b259bb781fd7,0,0,0,0,0,
20210227,MN,483790,23445.0,2999036.0,,totalTestEncountersViral,6891674,263.0,25714.0,60.0,5304.0,,,469959.0,2/26/2021 17:00,2021-02-26T17:00:00Z,02/26 12:00,6475,25714.0,,2021-02-26T17:00:00Z,,,,460345.0,6204.0,271.0,6891674.0,3459381.0,,,,,,,,,425249.0,,27,812,5472,3482826,24763,3482826,,13,31,e6b603a5b390578cdc1ce775e61a3f4d4b08832f,0,0,0,0,0,
20210227,MO,477950,,1854790.0,,totalTestsViral,4472822,1209.0,,238.0,,150.0,,,2/27/2021 00:59,2021-02-27T00:59:00Z,02/26 19:59,7920,,,2021-02-27T00:59:00Z,4472822.0,527680.0,3935700.0,477950.0,,,,2332740.0,149277.0,23974.0,125105.0,133672.0,,,348751.0,,845921.0,81593.0,29,478,3065,2332740,13647,2332740,,7,0,2d4407ee6c8effd3d027fb14b85c680d77f7ff7b,0,0,0,0,0,
20210227,MP,143,,17429.0,,posNeg,17572,,4.0,,,,,29.0,2/20/2021 00:00,2021-02-20T00:00:00Z,02/19 19:00,2,4.0,,2021-02-20T00:00:00Z,26131.0,,,143.0,2.0,,,17542.0,,,,,,,,,,,69,0,0,17572,0,17572,,0,0,baa13cc25d2aa451f4807db48598c304725ced4b,0,0,0,0,0,
20210227,MS,294091,111460.0,1436186.0,,posNeg,1730277,492.0,9012.0,114.0,,69.0,,273437.0,2/26/2021 00:00,2021-02-26T00:00:00Z,02/25 19:00,6669,9012.0,,2021-02-26T00:00:00Z,1617180.0,,,182631.0,4667.0,2002.0,,,80525.0,,,,,,,,728148.0,,28,549,0,1730277,549,1730277,,31,0,4a57db4c61e06f641b518de8bee4e3ee3c4b6d3a,0,0,0,0,0,
20210227,MT,99837,4477.0,979077.0,,posNeg,1078914,68.0,4579.0,13.0,,6.0,,96724.0,2/27/2021 01:59,2021-02-27T01:59:00Z,02/26 20:59,1356,4579.0,,2021-02-27T01:59:00Z,1074437.0,,,95360.0,,,,,,,,,,,,,,,30,224,4469,1078914,4693,1078914,,2,8,c725d2ee92c65b49ca18af04726dd33cba443b33,0,0,0,0,0,
20210227,NC,858548,109160.0,9464473.0,,posNeg,10323021,1414.0,,348.0,,,,,2/27/2021 12:00,2021-02-27T12:00:00Z,02/27 07:00,11212,,795521.0,2021-02-27T12:00:00Z,10213861.0,,,749388.0,9922.0,1290.0,,,,,,,,,,,759541.0,,37,2643,61211,10323021,63854,10323021,,26,0,f9fac8fb7ce932c19032d59facd63bb882b338eb,0,0,0,0,0,
20210227,ND,99780,5204.0,304810.0,,totalTestEncountersViral,1409086,21.0,3866.0,3.0,565.0,,,97678.0,2/27/2021 01:59,2021-02-27T01:59:00Z,02/26 20:59,1472,3866.0,,2021-02-27T01:59:00Z,1514345.0,,,94576.0,,,1409086.0,404590.0,13395.0,1442.0,11953.0,,,,,,143485.0,,38,69,463,404590,1967,404590,,0,2,dab0ba4312f8a762543787c6796764058fac5dfb,0,0,0,0,0,
20210227,NE,200681,,763406.0,,totalTestsViral,2366126,154.0,6099.0,,,,,154339.0,2/27/2021 10:30,2021-02-27T10:30:00Z,02/27 05:30,2082,6099.0,,2021-02-27T10:30:00Z,2366126.0,233075.0,2130434.0,,,,,964612.0,,,,,,,,,,,31,278,1160,964087,9331,964087,,4,11,7ea400d049f28599ccb64f360f4ca34f6d0af99f,0,0,0,0,0,
