date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210211,ME,42058,8482.0,1444519.0,,posNeg,1486577,100.0,1464.0,22.0,,11.0,,12588.0,A+,2/10/2021 23:59,2021-02-10T23:59:00Z,02/10 18:59,641,1464.0,2021-02-10T23:59:00Z,1478095.0,39751.0,1437465.0,33576.0,628.0,13.0,,,14680.0,754.0,13914.0,,,,,,177349.0,9433.0,23,175,10604,1486577,10779,1486577,0,6,a96d9064bab68d1c51d3dbcaa2623f5cfe329303,0,0,0,0,0,
20210211,MI,626477,54298.0,9137481.0,,posNeg,9763958,1061.0,,266.0,,125.0,,498495.0,A+,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,16019,,2021-02-11T00:00:00Z,9862459.0,724978.0,9137481.0,572179.0,15052.0,967.0,,,505644.0,,,,,,,,,,26,1507,47251,9763958,48758,9763958,80,0,d96e1d3ee36e82908ed1a6c0599bef4f30abed7e,0,0,0,0,0,
20210211,MN,470803,21390.0,2888377.0,,totalTestEncountersViral,6497251,320.0,24989.0,78.0,5168.0,,,456849.0,A,2/10/2021 17:00,2021-02-10T17:00:00Z,02/10 12:00,6343,24989.0,2021-02-10T17:00:00Z,,,,449413.0,6081.0,262.0,6497251.0,3337790.0,,,,,,,,,373826.0,,27,898,9666,3359180,37998,3359180,24,65,be246c91cd4cee33ad445efc00d12924a08aba6a,0,0,0,0,0,
20210211,MO,469223,,1811185.0,,totalTestsViral,4294645,1488.0,,319.0,,200.0,,,A+,2/11/2021 00:59,2021-02-11T00:59:00Z,02/10 19:59,7431,,2021-02-11T00:59:00Z,4294645.0,517881.0,3767653.0,469223.0,,,,2280408.0,143609.0,21906.0,121516.0,129496.0,,,311278.0,,731148.0,76365.0,29,1034,4089,2280408,18087,2280408,270,0,9c8be1c27ed32a000b509087d0c6aaa4f44e06cf,0,0,0,0,0,
20210211,MP,133,,17429.0,,posNeg,17562,,4.0,,,,,29.0,C,2/1/2021 00:00,2021-02-01T00:00:00Z,01/31 19:00,2,4.0,2021-02-01T00:00:00Z,26131.0,,,133.0,2.0,,,17542.0,,,,,,,,,,,69,0,0,17562,0,17562,0,0,351d04c187c32da0ee827252d2253aaee14b5677,0,0,0,0,0,
20210211,MS,284664,106324.0,1360637.0,,posNeg,1645301,690.0,8902.0,178.0,,119.0,,253140.0,A+,2/10/2021 00:00,2021-02-10T00:00:00Z,02/09 19:00,6390,8902.0,2021-02-10T00:00:00Z,1538094.0,,,178340.0,4532.0,1858.0,,,77438.0,,,,,,,,680977.0,,28,911,0,1645301,911,1645301,23,0,3adb8f5151420beeaddbacb61d2c26a3ee9314f8,0,0,0,0,0,
20210211,MT,96842,2712.0,913499.0,,posNeg,1010341,111.0,4414.0,25.0,,12.0,,92497.0,A+,2/11/2021 01:59,2021-02-11T01:59:00Z,02/10 20:59,1320,4414.0,2021-02-11T01:59:00Z,1007629.0,,,94130.0,,,,,,,,,,,,,,,30,247,6346,1010341,6593,1010341,0,14,cb44b036e50573f6728c0b61e65fae27e6afdbda,0,0,0,0,0,
20210211,NC,810466,96454.0,8733607.0,,posNeg,9544073,2185.0,,516.0,,,,730454.0,A+,2/11/2021 11:20,2021-02-11T11:20:00Z,02/11 06:20,10294,,2021-02-11T11:20:00Z,9447619.0,,,714012.0,9189.0,1105.0,,,,,,,,,,,632433.0,,37,4568,65165,9544073,69733,9544073,113,0,a12bd88b0f9ca764eda990af3ece22b04f22f28a,0,0,0,0,0,
20210211,ND,98353,4721.0,301078.0,,totalTestEncountersViral,1372588,39.0,3827.0,5.0,556.0,,,96127.0,B,2/11/2021 01:59,2021-02-11T01:59:00Z,02/10 20:59,1460,3827.0,2021-02-11T01:59:00Z,1464863.0,,,93632.0,,,1372588.0,399431.0,13395.0,1442.0,11953.0,,,,,,114136.0,,38,139,518,399431,4697,399431,1,7,5c45dc96551a3fdbba7feb32933a36b5be899ebf,0,0,0,0,0,
20210211,NE,195006,,746497.0,,totalTestsViral,2214571,230.0,5931.0,,,,,141236.0,A,2/11/2021 10:30,2021-02-11T10:30:00Z,02/11 05:30,1990,5931.0,2021-02-11T10:30:00Z,2214571.0,225461.0,1986778.0,195006.0,,,,941988.0,,,,,,,,,,,31,374,1573,941503,9443,941503,4,3,7ce5bbadf1f82e4dd64e122cc4818e2d94c6049b,0,0,0,0,0,
