Country_Region,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Liberia,6278,287,0.0,5991.0,2021-12-31 04:21:50,6.4280550000000005,-9.429499
Libya,388183,5696,0.0,382487.0,2021-12-31 04:21:50,26.3351,17.228331
Liechtenstein,6131,69,0.0,6062.0,2021-12-31 04:21:50,47.14,9.55
Lithuania,517655,7373,0.0,510282.0,2021-12-31 04:21:50,55.1694,23.8813
Luxembourg,102486,912,0.0,101574.0,2021-12-31 04:21:50,49.8153,6.1296
MS Zaandam,9,2,0.0,7.0,2021-12-31 04:21:50,,
Madagascar,50279,1027,0.0,49252.0,2021-12-31 04:21:50,-18.766947,46.869107
Malawi,74201,2355,0.0,71846.0,2021-12-31 04:21:50,-13.2543,34.3015
Malaysia,2755130,31462,0.0,2723668.0,2021-12-31 04:21:50,4.1359,104.07559375
Maldives,95540,262,0.0,95278.0,2021-12-31 04:21:50,3.2028,73.2207
Mali,20670,658,0.0,20012.0,2021-12-31 04:21:50,17.570692,-3.996166000000001
Malta,51070,476,0.0,50594.0,2021-12-31 04:21:50,35.9375,14.3754
Marshall Islands,4,0,0.0,4.0,2021-12-31 04:21:50,7.1315,171.1845
Mauritania,41154,863,0.0,40291.0,2021-12-31 04:21:50,21.0079,-10.9408
Mauritius,23372,240,0.0,23132.0,2021-12-31 04:21:50,-20.348404,57.552152
Mexico,3961662,299132,0.0,3662530.0,2021-12-31 04:21:50,21.720234375,-100.5272875
Micronesia,1,0,0.0,1.0,2021-12-31 04:21:50,7.4256,150.5508
Moldova,375780,9690,0.0,366090.0,2021-12-31 04:21:50,47.4116,28.3699
Monaco,4985,38,0.0,4947.0,2021-12-31 04:21:50,43.7333,7.4167
Mongolia,389361,2059,0.0,387302.0,2021-12-31 04:21:50,46.8625,103.8467
Montenegro,168328,2407,0.0,165921.0,2021-12-31 04:21:50,42.708678000000006,19.37439
Morocco,961058,14844,0.0,946214.0,2021-12-31 04:21:50,31.7917,-7.0926
Mozambique,184219,1996,0.0,182223.0,2021-12-31 04:21:50,-18.665695,35.529562
Namibia,146720,3616,0.0,143104.0,2021-12-31 04:21:50,-22.9576,18.4904
Nepal,828207,11590,0.0,816617.0,2021-12-31 04:21:50,28.1667,84.25
Netherlands,3164890,21360,0.0,3143530.0,2021-12-31 04:21:50,42.6255485,-12.72988475
New Zealand,14120,51,0.0,14069.0,2021-12-31 04:21:50,-31.068649999999998,7.554149999999993
Nicaragua,17487,217,0.0,17270.0,2021-12-31 04:21:50,12.865416,-85.207229
Niger,7331,274,0.0,7057.0,2021-12-31 04:21:50,17.607789,8.081666
Nigeria,241513,3030,0.0,238483.0,2021-12-31 04:21:50,9.082,8.6753
North Macedonia,224507,7953,0.0,216554.0,2021-12-31 04:21:50,41.6086,21.7453
Norway,391214,1305,0.0,389909.0,2021-12-31 04:21:50,60.472,8.4689
Oman,305489,4116,0.0,301373.0,2021-12-31 04:21:50,21.512583,55.92325500000001
Pakistan,1295376,28927,0.0,1266449.0,2021-12-31 04:21:50,31.87417857142857,71.56523457142858
Palau,8,0,0.0,8.0,2021-12-31 04:21:50,7.515,134.5825
Panama,491043,7425,0.0,483618.0,2021-12-31 04:21:50,8.538,-80.7821
Papua New Guinea,36158,590,0.0,35568.0,2021-12-31 04:21:50,-6.314993,143.95555
Paraguay,466101,16624,0.0,449477.0,2021-12-31 04:21:50,-23.4425,-58.4438
Peru,2292254,202653,0.0,2089601.0,2021-12-31 04:21:50,-10.63732404,-75.2777438
Philippines,2841260,51373,0.0,2789887.0,2021-12-31 04:21:50,12.879721,121.774017
Poland,4094608,96415,0.0,3998193.0,2021-12-31 04:21:50,51.9194,19.1451
Portugal,1358817,18937,0.0,1339880.0,2021-12-31 04:21:50,39.3999,-8.2245
Qatar,249787,617,0.0,249170.0,2021-12-31 04:21:50,25.3548,51.1839
Romania,1807223,58714,0.0,1748509.0,2021-12-31 04:21:50,45.9432,24.9668
Russia,10299923,301791,0.0,9998132.0,2021-12-31 04:21:50,54.54631183192772,62.12086023397591
Rwanda,110558,1349,0.0,109209.0,2021-12-31 04:21:50,-1.9403,29.8739
Saint Kitts and Nevis,2918,28,0.0,2890.0,2021-12-31 04:21:50,17.357822,-62.782998
Saint Lucia,13473,295,0.0,13178.0,2021-12-31 04:21:50,13.9094,-60.9789
Saint Vincent and the Grenadines,5850,81,0.0,5769.0,2021-12-31 04:21:50,12.9843,-61.2872
Samoa,3,0,0.0,3.0,2021-12-31 04:21:50,-13.759,-172.1046
