Country_Region,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Malta,19333,286,16646,2401,2021-02-12 05:23:29,35.9375,14.3754
Marshall Islands,4,0,4,0,2021-02-12 05:23:29,7.1315,171.1845
Mauritania,16925,427,16155,343,2021-02-12 05:23:29,21.0079,-10.9408
Mauritius,595,10,546,39,2021-02-12 05:23:29,-20.348404000000002,57.552152
Mexico,1968566,171234,1528304,269028,2021-02-12 05:23:29,21.720234374999997,-100.52728750000001
Micronesia,1,0,1,0,2021-02-12 05:23:29,7.4256,150.5508
Moldova,167546,3607,155557,8382,2021-02-12 05:23:29,47.4116,28.3699
Monaco,1735,19,1455,261,2021-02-12 05:23:29,43.7333,7.4167
Mongolia,2247,2,1640,605,2021-02-12 05:23:29,46.8625,103.8467
Montenegro,67441,869,58210,8362,2021-02-12 05:23:29,42.708678000000006,19.37439
Morocco,477160,8440,457325,11395,2021-02-12 05:23:29,31.7917,-7.0926
Mozambique,47790,501,30124,17165,2021-02-12 05:23:29,-18.665695,35.529562
Namibia,35353,382,33950,1021,2021-02-12 05:23:29,-22.9576,18.4904
Nepal,272430,2052,268660,1718,2021-02-12 05:23:29,28.1667,84.25
Netherlands,1031454,14782,13568,1003104,2021-02-12 05:23:29,42.625548499999994,-12.72988475
New Zealand,2326,25,2257,44,2021-02-12 05:23:29,-40.9006,174.886
Nicaragua,6347,171,4225,1951,2021-02-12 05:23:29,12.865416,-85.207229
Niger,4665,167,4100,398,2021-02-12 05:23:29,17.607789,8.081666
Nigeria,143516,1710,118012,23794,2021-02-12 05:23:29,9.082,8.6753
North Macedonia,96152,2966,87122,6064,2021-02-12 05:23:29,41.6086,21.7453
Norway,65811,592,17998,47221,2021-02-12 05:23:29,60.472,8.4689
Oman,136622,1539,128461,6622,2021-02-12 05:23:29,21.512583,55.92325500000001
Pakistan,560363,12218,518164,29981,2021-02-12 05:23:29,31.87417857142857,71.56523457142858
Panama,330075,5572,303610,20893,2021-02-12 05:23:29,8.538,-80.7821
Papua New Guinea,914,9,846,59,2021-02-12 05:23:29,-6.314993,143.95555
Paraguay,141775,2891,117855,21029,2021-02-12 05:23:29,-23.4425,-58.4438
Peru,1203502,43045,1117729,42728,2021-02-12 05:23:29,-10.637324040000001,-75.2777438
Philippines,543282,11469,500335,31478,2021-02-12 05:23:29,12.879721,121.77401699999999
Poland,1570658,40177,1324101,206380,2021-02-12 05:23:29,51.9194,19.1451
Portugal,778369,14885,645122,118362,2021-02-12 05:23:29,39.3999,-8.2245
Qatar,155901,254,147727,7920,2021-02-12 05:23:29,25.3548,51.1839
Romania,755126,19200,701283,34643,2021-02-12 05:23:29,45.9432,24.9668
Russia,3983031,77415,3499230,406386,2021-02-12 05:23:29,54.5463118319277,62.12086023397593
Rwanda,17068,231,13678,3159,2021-02-12 05:23:29,-1.9403,29.8739
Saint Kitts and Nevis,40,0,38,2,2021-02-12 05:23:29,17.357822,-62.782998
Saint Lucia,2415,22,1420,973,2021-02-12 05:23:29,13.9094,-60.9789
Saint Vincent and the Grenadines,1370,6,467,897,2021-02-12 05:23:29,12.9843,-61.2872
Samoa,2,0,2,0,2021-02-12 05:23:29,-13.759,-172.1046
San Marino,3247,72,2918,257,2021-02-12 05:23:29,43.9424,12.4578
Sao Tome and Principe,1431,19,1094,318,2021-02-12 05:23:29,0.1864,6.6131
Saudi Arabia,371720,6420,362642,2658,2021-02-12 05:23:29,23.885942,45.079162
Senegal,29914,724,24597,4593,2021-02-12 05:23:29,14.4974,-14.4524
Serbia,415943,4183,0,411760,2021-02-12 05:23:29,44.0165,21.0059
Seychelles,1768,7,1215,546,2021-02-12 05:23:29,-4.6796,55.492
Sierra Leone,3813,79,2519,1215,2021-02-12 05:23:29,8.460555000000001,-11.779889
Singapore,59759,29,59558,172,2021-02-12 05:23:29,1.2833,103.8333
Slovakia,271473,5629,253518,12326,2021-02-12 05:23:29,48.669,19.699
Slovenia,177140,3677,159657,13806,2021-02-12 05:23:29,46.1512,14.9955
Solomon Islands,18,0,14,4,2021-02-12 05:23:29,-9.6457,160.1562
Somalia,5013,144,3732,1137,2021-02-12 05:23:29,5.152149,46.199616
South Africa,1484900,47382,1377980,59538,2021-02-12 05:23:29,-30.5595,22.9375
South Sudan,4960,71,3729,1160,2021-02-12 05:23:29,6.8770000000000024,31.307
Spain,3041454,64217,150376,2826861,2021-02-12 05:23:29,39.763692526315786,-3.6827658947368427
Sri Lanka,73116,379,66211,6526,2021-02-12 05:23:29,7.873054,80.77179699999998
